Br16_C10	1	1	0	[color=gray93,label="Br16_C10",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C12	1	1	0	[color=gray93,label="Br16_C12",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C15	2	2	0	[color=forestgreen,label="Br16_C15",fillcolor=forestgreen,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C18	1	1	0	[color=gray93,label="Br16_C18",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C19	1	1	0	[color=gray93,label="Br16_C19",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C20	1	1	0	[color=gray93,label="Br16_C20",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C21	3	3	0	[color=firebrick,label="Br16_C21",fillcolor=firebrick,image="../CTC-cluster-icons/cluster_3-0.png"]
Br16_C22	1	1	0	[color=gray93,label="Br16_C22",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C24	1	1	0	[color=gray93,label="Br16_C24",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C26	2	2	0	[color=dodgerblue4,label="Br16_C26",fillcolor=dodgerblue4,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C27	1	1	0	[color=gray93,label="Br16_C27",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C28	2	2	0	[color=limegreen,label="Br16_C28",fillcolor=limegreen,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C3	1	1	0	[color=gray93,label="Br16_C3",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C30	2	2	0	[color=khaki4,label="Br16_C30",fillcolor=khaki4,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C4	1	1	0	[color=gray93,label="Br16_C4",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C5	2	2	0	[color=deepskyblue,label="Br16_C5",fillcolor=deepskyblue,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C6	2	2	0	[color=darkorange,label="Br16_C6",fillcolor=darkorange,image="../CTC-cluster-icons/cluster_2-0.png"]
Br16_C7	1	1	0	[color=gray93,label="Br16_C7",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
Br16_C9	1	1	0	[color=gray93,label="Br16_C9",fillcolor=gray93,image="../CTC-cluster-icons/cluster_1-0.png"]
